ID	Nome	Bio	Link Zeri	Bibliografia	Collaboratori	Eventi	Foto preview	Foto gallery
SA_IV	Sangiorgi	SA_IV_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=SANGIORGI	B_146 B_111 B_79 B_32 B_11	C_39 C_50 C_57 C_63	E_9 E_4 E_5	SA_IV_preview	SA_IV_img1 SA_IV_img2 SA_IV_img3 SA_IV_img4 SA_IV_img5
SE_I	Segre	SE_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?locale=it&decorator=layout_resp&apply=true&percorso_ricerca=OA&filtrolocalizzazione_OA=4531%7C3289&sortby=LOCALIZZAZIONE&batch=10	B_48 B_65 B_111 B_223			SE_I_preview	SE_I_img
SE_II	Sestieri	SE_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=sestieri	B_117 B_87 B_111 B_226 B_229	C_30 C_16_b C_21 C_11 C_14_b C_43 C_14 C_9 C_68		SE_II_preview	SE_II_img1 SE_II_img2 SE_II_img3
SI	Simonetti	SI_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=simonetti	B_95 B_96 B_33 B_157		E_1 E_17	SI_preview	SI_img1 SI_img2
ST	Steffanoni	ST_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Steffanoni	B_52 B_53 B_54	C_13 C_28 C_4 C_37 C_25 C_7 C_4 C_26		ST_preview
TA	Tavazzi	TA_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=tavazzi	B_65 B_140 B_111		E_8 E_17	TA_preview	TA_img1
TO	Tolentino	TO_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=r.+tolentino	B_13 B_36 B_203 B_201 B_177 B_209 B_212 B_188 B_200 B_143 B_13 B_176 B_184 B_189 B_140		E_11	TO_preview	TO_img1 TO_img2 TO_img3
VI_I	Viancini	VI_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=viancini	B_88 B_231	C_41_b C_38_b		VI_I_preview	VI_I_img1
VI_II	Viezzoli	VI_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=viezzoli	B_119 B_156	C_68		VI_II_preview
VI_III	Villa	VI_III_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=E.+Villa	B_103 B_119 B_181 B_165		E_12	VI_III_preview	VI_III_img1
VO_I	Volpi	VO_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=E.+Volpi	B_175 B_215 B_46 B_47 B_126 B_139 B_158 B_70 B_8 B_14	C_1 C_12 C_7	E_11 E_10	VO_I_preview	VO_I_img1 VO_I_img2 VO_I_img3
VO_II	Volterra	VO_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Volterra	B_14 B_8 B_90 B_85 B_152 B_57	C_35 C_40 C_41 C_67		VO_II_preview	VO_II_img1 VO_II_img2
ZA	Zabert	ZA_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=zabert	B_221	C_68		ZA_preview	ZA_img1 ZA_img2 ZA_img3
